ts_code,inputs,pr_value,strategy,error
002466.SZ,"{'pb': 1.645, 'roe': -16.92}",0.5745994221171524,pb_roe_squared,
002475.SZ,"{'pe': 20.7973, 'roe': 21.34, 'dividend_payout_ratio': 0.1348304265642511}",1.9491377694470478,dividend_correction,
002493.SZ,"{'pb': 2.2751, 'roe': 1.65}",83.56657483930213,pb_roe_squared,
002517.SZ,"{'pb': 5.5856, 'roe': 27.05}",0.7633703588548626,pb_roe_squared,
002532.SZ,"{'pb': 1.6308, 'roe': 17.38}",0.5398848722325439,pb_roe_squared,
002555.SZ,"{'pb': 3.0947, 'roe': 20.58}",0.7306809993190669,pb_roe_squared,
002558.SZ,"{'pe': 32.4789, 'roe': 11.56, 'dividend_payout_ratio': 0.2617686999161117}",5.366557244059201,dividend_correction,
002594.SZ,"{'pb': 8.6977, 'roe': 26.05}",1.2817076270718128,pb_roe_squared,
002595.SZ,"{'pe': 22.6228, 'roe': 21.44, 'dividend_payout_ratio': 0.28059615652762265}",1.8802251668473717,dividend_correction,
002600.SZ,"{'pb': 3.1778, 'roe': 9.24}",3.722053559715897,pb_roe_squared,
002601.SZ,"{'pb': 1.8575, 'roe': 9.78}",1.9420084392420578,pb_roe_squared,
002602.SZ,"{'pe': 77.032, 'roe': 4.94, 'dividend_payout_ratio': 0.0}",31.18704453441295,dividend_correction,
002625.SZ,"{'pb': 9.4368, 'roe': 7.17}",18.356354638982744,pb_roe_squared,
002648.SZ,"{'pb': 2.0788, 'roe': 21.87}",0.43462543871808496,pb_roe_squared,
002653.SZ,"{'pb': 13.615, 'roe': 9.42}",15.343196253172316,pb_roe_squared,
002670.SZ,"{'pe': 180.5475, 'roe': 1.5182, 'dividend_payout_ratio': 0.0}",237.84415755499936,dividend_correction,
002673.SZ,"{'pb': 1.3656, 'roe': 4.95}",5.573308846036118,pb_roe_squared,
002709.SZ,"{'pb': 2.9763, 'roe': 3.66}",22.218489653318997,pb_roe_squared,
002714.SZ,"{'pb': 3.6733, 'roe': 25.1}",0.5830542372343295,pb_roe_squared,
002717.SZ,,,,"HTTPConnectionPool(host='api.waditu.com', port=80): Read timed out. (read timeout=30)"
002736.SZ,"{'pb': 1.5581, 'roe': 8.23}",2.300359205053969,pb_roe_squared,
002773.SZ,"{'pb': 4.3662, 'roe': 14.53}",2.068104105278066,pb_roe_squared,
002797.SZ,"{'pb': 1.9694, 'roe': 5.8}",5.854340071343638,pb_roe_squared,
002821.SZ,"{'pb': 2.4594, 'roe': 5.56}",7.955721753532427,pb_roe_squared,
002837.SZ,"{'pe': 67.7294, 'roe': 16.88, 'dividend_payout_ratio': 0.30348604605776736}",6.610526687125504,dividend_correction,
002850.SZ,"{'pb': 2.7374, 'roe': 13.39}",1.5267822731732184,pb_roe_squared,
002916.SZ,"{'pb': 6.1369, 'roe': 13.58}",3.3277409167514382,pb_roe_squared,
002920.SZ,"{'pb': 6.0635, 'roe': 23.07}",1.1392740174313527,pb_roe_squared,
